feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Insulin..mU.L..y	group	3	7.14037621247963	0.564682454343626	48	24	2.9992079442645e-16	3.95895448642915e-14
Insulin..mU.L..y	group	4	6.41598930079592	0.564682454343627	48	24	1.1267233448538e-14	7.43637407603511e-13
Leptin.ng.mL	group	4	2.6878260275728	0.384942655570532	48	48	1.21309154542476e-08	5.33760279986896e-07
Leptin.ng.mL	group	2	2.63419025931218	0.384942655570532	48	48	1.94218843854551e-08	6.40922184720018e-07
palmitic.acid	group	2	0.649057070658692	0.106889438731274	48	48	2.64276836389122e-07	6.97690848067282e-06
Leptin.ng.mL	group	3	2.25791136073783	0.384942655570532	48	48	5.31667368655962e-07	1.16966821104312e-05
osbond.acid	group	2	1.04394080190112	0.185113404464959	48	48	1.13999447907335e-06	2.14970387482404e-05
Saturated1	group	2	0.53776406953034	0.104112526558155	48	48	5.57682597223159e-06	9.20176285418212e-05
mead.acid	group	2	1.00870007283227	0.21148114507853	48	48	2.0549669731058e-05	0.000301395156055517
pentadecanoic.acid	group	4	-0.683655171649774	0.14829156387846	48	48	3.45252756128333e-05	0.0004557336380894
Lab.results	group	2	0.537827693064232	0.117812135140566	48	48	3.99444006848976e-05	0.000479332808218771
mead.acid	group	3	0.921778999840716	0.21148114507853	48	48	7.74643163709348e-05	0.000852107480080282
stearic.acid	group	2	0.463630010429254	0.107878408179848	48	48	9.40303211974049e-05	0.000954769415235189
palmitic.acid	group	3	0.430422732115302	0.106889438731274	48	48	0.000219955753699769	0.00207386853488354
linoleic.acid	group	2	0.492519922591934	0.123423237679897	48	48	0.000246118325200499	0.00216584126176439
osbond.acid	group	3	0.730509827473397	0.185113404464959	48	48	0.000282069951097778	0.00232707709655666
pentadecanoic.acid	group	3	-0.571096571337801	0.14829156387846	48	48	0.000377460119155211	0.00293086680755811
osbond.acid	group	4	0.699198487067686	0.185113404464959	48	48	0.000472617153928902	0.00346585912881195
adrenic.acid	group	2	0.676516752920754	0.196665238599878	48	48	0.00128508496904925	0.00848156079572504
Triglycerides..mmol.L.	group	2	0.69763018996299	0.201860366868383	48	48	0.00122643553605675	0.00848156079572504
oleic.acid	group	2	0.500770097812341	0.14988448715013	48	48	0.00170953081865829	0.0107456222887092
arachidonic.acid	group	2	0.50850301896736	0.154449035404482	48	48	0.00196449675918066	0.011786980555084
Lab.results	group	3	0.384040993944831	0.117812135140566	48	48	0.00215498614999617	0.0119219989747294
Saturated1	group	3	0.339168209475599	0.104112526558155	48	48	0.00216763617722353	0.0119219989747294
margaric.acid	group	4	-0.410024666229636	0.128342167835033	48	48	0.00258832913759406	0.0136663778464966
mead.acid	group	4	0.660234649174032	0.21148114507853	48	48	0.00317130714854425	0.0161004824464554
palmitic.acid	group	4	0.326316300221776	0.106889438731274	48	48	0.0038372890747479	0.0187600799209897
Lab.results	group	4	0.357392958038126	0.117812135140566	48	48	0.00404503294595309	0.0190694410309217
Fasting.Glucose.mmol.L	group	4	0.12518026153401	0.0429328092162782	48	48	0.00556467196077914	0.0253288516835464
dihomo.gamma.linolenic.acid	group	2	0.488797689340887	0.180110655939238	48	48	0.00945965247211888	0.0416224708773231
stearic.acid	group	3	0.283142647463941	0.107878408179848	48	48	0.0118813686935629	0.0505916344371064
adrenic.acid	group	3	0.49762154568095	0.196665238599878	48	48	0.0150500318482403	0.062081381373991
Triglycerides..mmol.L.	group	3	0.50672108814981	0.201860366868383	48	48	0.0158152651825191	0.0632610607300765
Saturated1	group	4	0.250960613025316	0.104112526558155	48	48	0.0201774880416733	0.0783361300441433
Monounsaturated2	group	2	0.371942349388752	0.156186405993343	48	48	0.021638820632548	0.0816092663856098
Malic.Acid..ug.mL.	group	3	-0.309525285689895	0.133432043748841	48	48	0.0250584200321259	0.0918808734511284
arachidonic.acid	group	3	0.355821582678708	0.154449035404482	48	48	0.0260156575061855	0.0928126159680131
