""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"D3"	"Glycine and Serine Metabolism"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	56	0.467965949820789
"D111"	"Dihydropyrimidine Dehydrogenase Deficiency (DHPD)"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	56	0.467965949820789
"D145"	"Non-Ketotic Hyperglycinemia"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	56	0.467965949820789
"D152"	"Dimethylglycine Dehydrogenase Deficiency"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	112	0.467965949820789
"D154"	"Sarcosinemia"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	56	0.467965949820789
"D227"	"Hyperglycinemia, Non-Ketotic"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	56	0.467965949820789
"D326"	"3-Phosphoglycerate Dehydrogenase Deficiency"	"HMDB0000243;HMDB0000123;HMDB0000092;HMDB0000271;HMDB0000187;HMDB0000161;HMDB0000517;HMDB0000128;HMDB0000064;HMDB0000043;HMDB0000696;HMDB0000139;HMDB0000148;HMDB0000208;HMDB0000099;HMDB0000574"	0.00122726520313476	0.207873607205402	16	56	0.467965949820789
"D155"	"Azithromycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D156"	"Clarithromycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D157"	"Clindamycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D158"	"Erythromycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D159"	"Roxithromycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D160"	"Telithromycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D161"	"Amikacin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D162"	"Gentamicin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D163"	"Kanamycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D164"	"Neomycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D165"	"Netilmicin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D166"	"Spectinomycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D167"	"Streptomycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
